City,Country,Date,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
bengkulu,,,,,,,,
Am Timan,TD,1541291648,11.04,20.28,70.17,74,0,3.09
Lebu,ET,1541286000,8.96,38.73,60.8,55,75,6.93
Port Alfred,ZA,1541291650,-33.59,26.89,71.66,68,8,19.15
saleaula,,,,,,,,
Puerto Ayora,EC,1541289600,-0.74,-90.35,77,69,75,9.17
Hermanus,ZA,1541291617,-34.42,19.24,59.64,67,88,4.21
Iguatu,BR,1541291655,-6.36,-39.3,85.65,36,12,6.85
Sambava,MG,1541291656,-14.27,50.17,74.4,100,76,3.83
Kahului,US,1541289360,20.89,-156.47,87.08,53,20,25.28
Lavrentiya,RU,1541291659,65.58,-170.99,36.29,100,56,8.01
Tautira,PF,1541289600,-17.73,-149.15,84.2,70,20,17.22
Lompoc,US,1541289480,34.64,-120.46,82.4,65,1,9.17
Hithadhoo,MV,1541290968,-0.6,73.08,81.96,100,64,3.53
Rikitea,PF,1541291567,-23.12,-134.97,75.26,95,44,21.43
Uppsala,SE,1541289000,59.86,17.64,42.8,87,48,10.29
Ushuaia,AR,1541286000,-54.81,-68.31,53.6,50,75,23.04
illoqqortoormiut,,,,,,,,
Nikolskoye,RU,1541289600,59.7,30.79,41,86,40,13.42
Vaini,IN,1541291560,15.34,74.49,71.34,95,56,3.6
Jamestown,AU,1541291597,-33.21,138.6,77.51,50,68,6.29
Matagami,NG,1541291671,9.67,8.4,66.44,90,0,2.71
Albany,US,1541289300,42.65,-73.75,44.96,57,20,17.22
Narsaq,GL,1541289000,60.91,-46.05,23,41,0,4.7
Yellowknife,CA,1541289600,62.45,-114.38,14,85,90,10.29
Toccoa,US,1541290500,34.58,-83.33,53.96,100,1,4.7
Eyl,SO,1541291592,7.98,49.82,75.57,100,68,11.14
Kavieng,PG,1541291678,-2.57,150.8,84.12,100,48,8.08
Upernavik,GL,1541291680,72.79,-56.15,19.5,100,8,11.36
temaraia,,,,,,,,
Miri,NG,1541291682,10.31,9.75,70.49,61,76,2.3
Mataura,NZ,1541291591,-46.19,168.86,48.57,87,92,24.96
Qaanaaq,GL,1541291569,77.48,-69.36,2.85,100,20,8.34
taolanaro,,,,,,,,
Esperance,TT,1541289600,10.24,-61.45,78.8,88,20,4.99
Cherskiy,RU,1541291546,68.75,161.3,-7.73,78,24,2.86
Chokurdakh,RU,1541291689,70.62,147.9,-12.5,60,44,4.54
Busselton,AU,1541291557,-33.64,115.35,62.34,100,0,11.59
Kapaa,US,1541289360,22.08,-159.32,84.02,63,75,14.99
Port Elizabeth,US,1541289360,39.31,-74.98,55.04,54,20,6.93
San Cristobal,EC,1541289600,-0.39,-78.55,57.2,71,75,6.93
Chiredzi,ZW,1541291695,-21.05,31.67,67.88,74,64,6.29
Jucuapa,SV,1541291697,13.51,-88.38,74.13,91,20,1.7
Constitucion,MX,1541288460,23.99,-104.67,75.2,11,40,5.82
Saskylakh,RU,1541291621,71.97,114.09,-1.92,81,64,3.31
New Norfolk,AU,1541289600,-42.78,147.06,57.2,54,75,10.29
Carlyle,CA,1541289600,49.63,-102.27,32,86,90,4.7
Hasaki,JP,1541287800,35.73,140.83,57.2,82,75,5.82
East London,ZA,1541291704,-33.02,27.91,71.43,89,68,28.43
Geraldton,CA,1541290380,49.72,-86.95,28.4,86,90,8.05
Caravelas,BR,1541291706,-17.73,-39.27,77.96,100,8,18.19
Luderitz,NA,1541289600,-26.65,15.16,60.8,72,48,9.17
Kudahuvadhoo,MV,1541291708,2.67,72.89,82.46,100,36,5.88
Cururupu,BR,1541291710,-1.82,-44.87,80.88,80,68,8.23
Bredasdorp,ZA,1541289600,-34.53,20.04,64.4,55,100,4.7
Bluff,AU,1541291544,-23.58,149.07,84.44,46,0,6.78
Bethel,US,1541289180,60.79,-161.76,32,72,40,6.93
Cape Town,ZA,1541289600,-33.93,18.42,60.8,87,75,16.11
Mahebourg,MU,1541289600,-20.41,57.7,71.6,83,40,5.82
Vulcan,CA,1541291717,50.4,-113.26,42.54,73,24,4.83
Touros,BR,1541291718,-5.2,-35.46,79.44,86,100,15.28
Algeciras,ES,1541289600,36.13,-5.45,60.8,87,0,3.36
Alofi,NU,1541289600,-19.06,-169.92,77,57,0,14.99
Porto Novo,BR,1541289600,-23.68,-45.44,68,94,90,12.75
Nantucket,US,1541290500,41.28,-70.1,53.96,52,20,26.4
Fortuna,ES,1541289600,38.18,-1.13,50,87,0,5.82
Hailey,US,1541289060,43.52,-114.32,48.2,42,5,5.82
Castro,CL,1541291602,-42.48,-73.76,52.13,98,92,13.67
Meulaboh,ID,1541291727,4.14,96.13,76.65,100,64,4.54
Butaritari,KI,1541291585,3.07,172.79,84.39,100,0,7.56
Alice Springs,AU,1541289600,-23.7,133.88,93.2,24,0,11.41
Veraval,FR,1541289600,49.65,0.71,44.6,80,0,6.93
Sola,NO,1541289000,58.89,5.65,51.8,81,90,25.28
Phan Thiet,VN,1541291734,10.93,108.1,79.71,97,8,5.39
Rio Grande,BR,1541291735,-32.03,-52.1,62.84,99,44,7.29
Mazatlan,MX,1541288640,23.22,-106.42,82.4,65,20,12.75
Thompson,CA,1541289600,55.74,-97.86,21.2,92,90,5.82
Moisakula,EE,1541291738,58.09,25.19,43.94,96,80,6.4
Vardo,US,1541289600,39.62,-77.74,50,45,1,3.36
Tuktoyaktuk,CA,1541289600,69.44,-133.03,1.4,84,75,8.05
Ondarroa,ES,1541289600,43.32,-2.42,42.8,100,0,1.12
Kaitangata,NZ,1541291701,-46.28,169.85,47.36,92,76,27.76
Abha,SA,1541289600,18.22,42.5,57.2,82,40,1.36
ndele,,,,,,,,
Jiazi,CN,1541289600,19.61,110.49,69.8,100,48,2.24
Vila Velha,BR,1541289600,-3.71,-38.6,80.6,78,75,13.87
Tura,IN,1541291749,25.52,90.21,65.94,98,88,3.6
Maceio,BR,1541289600,-9.67,-35.74,75.2,83,20,6.93
Kruisfontein,ZA,1541291751,-34,24.73,65.09,70,0,11.14
amderma,,,,,,,,
Northam,GB,1541289000,51.04,-4.21,53.6,87,92,12.75
Iqaluit,CA,1541289600,63.75,-68.52,15.8,72,75,10.29
Hamilton,CA,1541289600,43.26,-79.87,42.8,80,75,9.17
Carballo,ES,1541289600,43.21,-8.69,53.6,93,40,6.93
Avera,US,1541289300,33.19,-82.53,59,90,1,3.53
Narodychi,UA,1541291760,51.2,29.09,46.19,89,48,2.98
Broome,GB,1541289360,52.47,1.45,46.58,81,12,9.17
Nome,US,1541290500,30.04,-94.42,71.96,66,90,5.82
Punta Arenas,CL,1541289600,-53.16,-70.91,53.6,71,75,17.22
Catalina,CO,1541289600,8.86,-75.38,78.8,94,40,3.76
Pisco,PE,1541289600,-13.71,-76.2,66.2,82,40,16.11
River Falls,US,1541290500,44.86,-92.63,44.96,60,40,6.93
Manaure,CO,1541289600,11.78,-72.45,82.4,69,40,4.7
Dikson,RU,1541291735,73.51,80.55,23.78,97,36,17.58
Mahibadhoo,MV,1541291771,3.78,72.97,82.91,100,68,5.99
Haines Junction,CA,1541291772,60.75,-137.51,6,85,80,2.75
Georgetown,GY,1541289600,6.8,-58.16,78.8,88,20,5.06
taburi,,,,,,,,
